,Entity,Continent,variable,value,Suma Sector,Suma Sector Cont,Porcentaje Sector,Porcentaje Sector Continenete
80,Canada,North America,Uso de tierras y bosques,37360000.61,3676689972,94860000.92,1.016131382,39.38435616
81,El Salvador,North America,Uso de tierras y bosques,1100000.024,3676689972,94860000.92,0.029918215,1.15960364
82,Guatemala,North America,Uso de tierras y bosques,3400000.095,3676689972,94860000.92,0.092474484,3.584229457
83,Haiti,North America,Uso de tierras y bosques,629999.9952,3676689972,94860000.92,0.017134977,0.664136611
84,Honduras,North America,Uso de tierras y bosques,5750000,3676689972,94860000.92,0.156390668,6.061564352
85,Jamaica,North America,Uso de tierras y bosques,180000.0072,3676689972,94860000.92,0.004895708,0.189753326
86,Mexico,North America,Uso de tierras y bosques,16969999.31,3676689972,94860000.92,0.461556439,17.8895205
87,Nicaragua,North America,Uso de tierras y bosques,19610000.61,3676689972,94860000.92,0.53336019,20.67257055
88,Panama,North America,Uso de tierras y bosques,4420000.076,3676689972,94860000.92,0.120216828,4.659498243
89,Trinidad and Tobago,North America,Uso de tierras y bosques,129999.9952,3676689972,94860000.92,0.003535789,0.137044059
90,Belgium,Europe,Uso de tierras y bosques,159999.9964,3676689972,15370000.09,0.00435174,1.04098891
91,Denmark,Europe,Uso de tierras y bosques,860000.0143,3676689972,15370000.09,0.023390605,5.595315611
92,Estonia,Europe,Uso de tierras y bosques,1950000.048,3676689972,15370000.09,0.053036836,12.68705294
93,Finland,Europe,Uso de tierras y bosques,6940000.057,3676689972,15370000.09,0.188756738,45.15289537
94,Greece,Europe,Uso de tierras y bosques,1399999.976,3676689972,15370000.09,0.038077727,9.108653014
95,Hungary,Europe,Uso de tierras y bosques,1889999.986,3676689972,15370000.09,0.051404932,12.29668169
96,Moldova,Europe,Uso de tierras y bosques,109999.9994,3676689972,15370000.09,0.002991821,0.715679888
97,Montenegro,Europe,Uso de tierras y bosques,29999.99933,3676689972,15370000.09,0.000815951,0.195185421
98,Netherlands,Europe,Uso de tierras y bosques,1360000.014,3676689972,15370000.09,0.036989793,8.848406029
99,North Macedonia,Europe,Uso de tierras y bosques,9999.999776,3676689972,15370000.09,0.000271984,0.065061807
100,Portugal,Europe,Uso de tierras y bosques,319999.9928,3676689972,15370000.09,0.00870348,2.081977821
101,Slovenia,Europe,Uso de tierras y bosques,340000.0036,3676689972,15370000.09,0.009247448,2.212101507
102,Afghanistan,Asia,Desechos,3609999.895,1629259996,752709994.9,0.221572978,0.479600367
103,Armenia,Asia,Desechos,740000.0095,1629259996,752709994.9,0.045419394,0.098311437
104,Azerbaijan,Asia,Desechos,4210000.038,1629259996,752709994.9,0.258399522,0.55931236
105,Bahrain,Asia,Desechos,12609999.66,1629259996,752709994.9,0.773970986,1.675279954
106,Bangladesh,Asia,Desechos,20909999.85,1629259996,752709994.9,1.28340473,2.777962295
107,Bhutan,Asia,Desechos,79999.99821,1629259996,752709994.9,0.004910205,0.010628263
108,Brunei,Asia,Desechos,170000.0018,1629259996,752709994.9,0.010434185,0.02258506
109,Cambodia,Asia,Desechos,569999.9928,1629259996,752709994.9,0.034985208,0.075726375
110,China,Asia,Desechos,203539993.3,1629259996,752709994.9,12.49278776,27.04095796
111,Georgia,Asia,Desechos,3200000.048,1629259996,752709994.9,0.196408189,0.425130538
112,India,Asia,Desechos,84260002.14,1629259996,752709994.9,5.171673173,11.19421858
113,Indonesia,Asia,Desechos,136020004.3,1629259996,752709994.9,8.34857571,18.07070521
114,Iran,Asia,Desechos,47259998.32,1629259996,752709994.9,2.900703291,6.27864631
115,Iraq,Asia,Desechos,11649999.62,1629259996,752709994.9,0.715048528,1.54774079
116,Israel,Asia,Desechos,8489999.771,1629259996,752709994.9,0.521095454,1.12792441
117,Japan,Asia,Desechos,6690000.057,1629259996,752709994.9,0.410615867,0.888788524
118,Jordan,Asia,Desechos,5739999.771,1629259996,752709994.9,0.352307169,0.76257786
119,Kazakhstan,Asia,Desechos,5650000.095,1629259996,752709994.9,0.346783209,0.750621107
120,Kuwait,Asia,Desechos,2519999.981,1629259996,752709994.9,0.154671445,0.334790291
121,Kyrgyzstan,Asia,Desechos,779999.9714,1629259996,752709994.9,0.047874494,0.103625563
122,Laos,Asia,Desechos,219999.9988,1629259996,752709994.9,0.013503063,0.029227724
123,Lebanon,Asia,Desechos,3150000.095,1629259996,752709994.9,0.193339314,0.418487879
124,Malaysia,Asia,Desechos,20959999.08,1629259996,752709994.9,1.286473561,2.784604858
125,Maldives,Asia,Desechos,140000.0006,1629259996,752709994.9,0.008592858,0.018599461
126,Mongolia,Asia,Desechos,250000,1629259996,752709994.9,0.01534439,0.033213323
127,Myanmar,Asia,Desechos,5199999.809,1629259996,752709994.9,0.31916329,0.690837088
128,Nepal,Asia,Desechos,990000.0095,1629259996,752709994.9,0.060763783,0.131524759
129,North Korea,Asia,Desechos,1500000,1629259996,752709994.9,0.092066337,0.199279937
130,Oman,Asia,Desechos,1110000.014,1629259996,752709994.9,0.06812909,0.147467155
131,Pakistan,Asia,Desechos,9390000.343,1629259996,752709994.9,0.576335291,1.247492448
132,Philippines,Asia,Desechos,14000000,1629259996,752709994.9,0.859285813,1.859946074
133,Qatar,Asia,Desechos,1200000.048,1629259996,752709994.9,0.073653073,0.159423956
134,Saudi Arabia,Asia,Desechos,28760000.23,1629259996,752709994.9,1.765218584,3.82086068
